Price,Close,High,Low,Open,Volume,Returns,Volatility
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2021-05-07,127.15826416015625,128.18364330353234,126.44536250089044,127.78326383187955,78973300,0.5327238718417782,1.429567641119937
2021-05-10,123.87700653076172,126.50395575349485,123.83794311938117,126.37701270502987,88071200,-2.580451731601008,1.512015756565966
2021-05-11,122.95903778076172,123.3105935686965,119.89262343355486,120.60551762571262,126142800,-0.7410323963326082,1.3883084258689748
2021-05-12,119.89263916015625,121.71881469697152,119.38482966600999,120.50787863355768,112172300,-2.4938375217874675,1.436174364994377
2021-05-13,122.04106140136719,123.1934058703671,121.34770266713772,121.66020248327753,105861300,1.7919550826977826,1.4298695772335517
2021-05-14,124.46292877197266,124.8926187981441,122.90042974578068,123.29105636497444,81918000,1.98446927845084,1.5222811043736295
2021-05-17,123.31058502197266,123.95512006477786,122.23636740121376,123.84769755764366,74244600,-0.9258529920272096,1.5191583677075273
2021-05-18,121.92386627197266,124.01371010532826,121.85550717277253,123.59378779578954,63342900,-1.1245739769646712,1.5142139532741956
2021-05-19,121.76761627197266,121.99222154061341,119.98050458396392,120.27347640024111,92612000,-0.12815374444529182,1.5084450139419627
2021-05-20,124.32621002197266,124.7266043537825,122.16800708745404,122.29496502221474,76857100,2.1012103450274378,1.5869498935468414
2021-05-21,122.49028015136719,125.00004641017311,122.27543512950636,124.82426479688547,79295400,-1.4767038022642232,1.542420923567455
2021-05-24,124.12114715576172,124.94146389287052,122.98833802904868,123.05669713625909,63092900,1.3314256464914465,1.5811116376115948
2021-05-25,123.92583465576172,125.31255964913692,123.35942638033971,124.82427074399982,72009500,-0.15735634456786052,1.5813068543930209
2021-05-26,123.87700653076172,124.40435140852335,123.45708417165065,123.98442904941227,56575900,-0.03940108625101191,1.5800081820688265
2021-05-27,122.34378814697266,124.64847698408089,122.14847856440403,123.4766045875031,94625600,-1.2376940860355123,1.595022852548678
2021-05-28,121.68949890136719,122.85161109201668,121.63090751379944,122.62699835536803,71311100,-0.5347956406413279,1.5705340217783725
2021-06-01,121.36724090576172,122.41216295280358,121.0352130826755,122.14849423744593,67637100,-0.2648198887454267,1.5502892565534228
2021-06-02,122.12895202636719,122.30473364370846,121.14262887683675,121.36723416808287,59278900,0.6276085003834808,1.360718231250744
2021-06-03,120.64457702636719,121.92387199310579,120.24418267613345,121.7578580944845,76229200,-1.2154161444696054,1.3813919100937992
2021-06-04,122.93949890136719,123.20317504815017,120.94730975584969,121.16215477898149,75169300,1.9022171833703139,1.422007509785003
2021-06-07,122.94927215576172,123.35942679081123,121.90435013756394,123.21294086384106,71057600,0.007949645542626449,1.4139067842851927
2021-06-08,123.76959228515625,125.44928928445928,123.25201508828968,123.6328740614777,74403800,0.6672021029577868,1.303298309355577
2021-06-09,124.15043640136719,124.75590806990476,123.55473244780471,124.22856322000109,56877900,0.3077041050062679,1.2928121318148125
2021-06-10,123.15433502197266,125.18558742946014,122.9883211344928,124.04300329363414,71186400,-0.8023341747863233,1.1663568420569352
2021-06-11,124.36528015136719,124.45317468407444,123.14457656242446,123.5644988950441,53522400,0.9832744654733272,1.1191636750202458
2021-06-14,127.42193603515625,127.4805274309543,124.09186008030994,124.82428233012304,96906500,2.45780484719591,1.1651644141271813
2021-06-15,126.60160827636719,127.53911517627388,126.35746756194183,126.89458011391095,62746300,-0.6437884906745794,1.1534366009562504
2021-06-16,127.09965515136719,127.82231705994997,125.449276371544,127.31450018091431,91815000,0.393396957416825,1.1152913299939253
2021-06-17,128.70120239257812,129.44339964312107,126.61135863661735,126.75785199451342,96721700,1.2600720586563474,1.1358871386586773
