date,news_count,avg_sentiment,sentiment
2023-01-10,20,0.32181818181818184,"{'neutral': 11, 'positive': 9}"
2023-01-11,19,0.10233158654211287,"{'neutral': 10, 'positive': 6, 'negative': 3}"
2023-01-12,17,0.2801120448179272,"{'positive': 8, 'neutral': 8, 'negative': 1}"
2023-01-13,14,0.0802295918367347,"{'neutral': 9, 'positive': 4, 'negative': 1}"
2023-01-14,6,0.05063131313131314,"{'neutral': 5, 'positive': 1}"
2023-01-15,1,0.34285714285714286,{'positive': 1}
2023-01-16,14,0.44216269841269845,"{'positive': 8, 'neutral': 6}"
2023-01-17,17,0.22204609116373822,"{'positive': 8, 'neutral': 7, 'negative': 2}"
2023-01-18,20,0.3274206349206349,"{'neutral': 10, 'positive': 9, 'negative': 1}"
2023-01-19,17,0.33044786096256684,"{'positive': 9, 'neutral': 6, 'negative': 2}"
2023-01-20,18,0.13875661375661374,"{'neutral': 8, 'positive': 7, 'negative': 3}"
2023-01-21,5,0.7,"{'positive': 4, 'neutral': 1}"
2023-01-22,7,0.3051948051948052,"{'neutral': 4, 'positive': 3}"
2023-01-23,25,0.30224242424242426,"{'positive': 14, 'neutral': 10, 'negative': 1}"
2023-01-24,18,0.3217592592592593,"{'neutral': 11, 'positive': 6, 'negative': 1}"
2023-01-25,18,-0.07116402116402115,"{'neutral': 7, 'positive': 6, 'negative': 5}"
2023-01-26,21,0.18273809523809526,"{'neutral': 11, 'positive': 7, 'negative': 3}"
2023-01-27,14,0.5641156462585034,"{'positive': 10, 'neutral': 4}"
2023-01-28,2,0.0,{'neutral': 2}
2023-01-29,10,0.175,"{'neutral': 5, 'positive': 4, 'negative': 1}"
2023-01-30,30,-0.08895061728395062,"{'neutral': 20, 'negative': 6, 'positive': 4}"
2023-01-31,31,0.22426821983273598,"{'neutral': 23, 'positive': 8}"
2023-02-01,24,0.09201388888888888,"{'neutral': 10, 'positive': 9, 'negative': 5}"
2023-02-02,36,0.3826388888888889,"{'positive': 18, 'neutral': 16, 'negative': 2}"
2023-02-03,41,0.09329268292682927,"{'neutral': 20, 'positive': 14, 'negative': 7}"
2023-02-04,1,0.0,{'neutral': 1}
2023-02-05,2,1.0,{'positive': 2}
2023-02-06,25,0.0938989898989899,"{'neutral': 14, 'positive': 7, 'negative': 4}"
2023-02-07,18,0.2822671156004489,"{'neutral': 11, 'positive': 6, 'negative': 1}"
2023-02-08,16,0.24136904761904762,"{'positive': 9, 'neutral': 5, 'negative': 2}"
2023-02-09,14,0.4238095238095238,"{'positive': 9, 'neutral': 4, 'negative': 1}"
2023-02-10,15,0.18000000000000002,"{'positive': 7, 'neutral': 6, 'negative': 2}"
2023-02-11,4,0.3482142857142857,"{'positive': 2, 'neutral': 2}"
2023-02-12,4,0.175,"{'neutral': 2, 'negative': 1, 'positive': 1}"
2023-02-13,15,0.5622222222222223,"{'positive': 12, 'neutral': 3}"
2023-02-14,17,0.2824420677361854,"{'positive': 9, 'neutral': 7, 'negative': 1}"
2023-02-15,15,0.16666666666666666,"{'neutral': 7, 'positive': 6, 'negative': 2}"
2023-02-16,9,0.18703703703703703,"{'neutral': 6, 'positive': 3}"
2023-02-17,13,0.1294871794871795,"{'neutral': 8, 'positive': 4, 'negative': 1}"
2023-02-18,5,0.4011111111111111,"{'positive': 4, 'neutral': 1}"
2023-02-19,5,0.3,"{'neutral': 3, 'positive': 2}"
2023-02-20,5,0.44000000000000006,"{'positive': 3, 'neutral': 2}"
2023-02-21,15,-0.16444444444444445,"{'neutral': 9, 'negative': 4, 'positive': 2}"
2023-02-22,12,0.17857142857142858,"{'neutral': 9, 'positive': 3}"
2023-02-23,17,0.09607843137254903,"{'neutral': 8, 'positive': 6, 'negative': 3}"
2023-02-24,9,0.24722222222222223,"{'neutral': 5, 'positive': 4}"
2023-02-25,5,0.5,"{'positive': 4, 'neutral': 1}"
2023-02-26,3,0.05000000000000001,"{'negative': 1, 'neutral': 1, 'positive': 1}"
2023-02-27,15,0.1961111111111111,"{'positive': 7, 'neutral': 6, 'negative': 2}"
2023-02-28,18,0.2156084656084656,"{'neutral': 10, 'positive': 7, 'negative': 1}"
2023-03-01,19,0.08421052631578947,"{'positive': 8, 'neutral': 7, 'negative': 4}"
2023-03-02,15,0.26075396825396824,"{'positive': 8, 'neutral': 6, 'negative': 1}"
2023-03-03,22,0.3426767676767677,"{'positive': 11, 'neutral': 7, 'negative': 4}"
2023-03-04,2,0.25,"{'neutral': 1, 'positive': 1}"
2023-03-05,7,0.3535714285714286,"{'positive': 4, 'neutral': 2, 'negative': 1}"
2023-03-06,26,0.3766826923076923,"{'positive': 13, 'neutral': 12, 'negative': 1}"
